,droit_d_auteur,Llama2-7B Accuracy,Pythia7B Accuracy,Pythia12B Accuracy,Olmo-7B Accuracy,Mistral7B Instruct Accuracy,Mixtral7x8B Accuracy,Mistral7B Accuracy,GPT-4 Accuracy,ChatGPT Accuracy,BERT Accuracy,Author,Title,Year,Bing Hits,Google Hits,Dolma Hits,C4 Hits,Pile Hits,Source,Sub-source,average,Source：Sub-source,ChatGPT predicted year,GPT-4 predicted year,ID,Date of Birth,Date of Death
13,public,0,0,0,0,0.13,0.03,0.01,0.58,0.35,0,Mark Twain,The Adventures of Tom Sawyer,1876,3.7,343,11.3,12,15.9,pre-1923 LitBank,,,pre-1923 LitBank,1876,1876,74_the_adventures_of_tom_sawyer,1835-11-30,1910/4/21
15,public,0,0,0,0,0,0.02,0,0.54,0.1,0,L. M. Montgomery,Anne of Green Gables,1908,5,279.7,9.7,14.2,11.5,pre-1923 LitBank,,,pre-1923 LitBank,1908,1910,45_anne_of_green_gables,1874-11-30,1942/4/24
20,private,0,0,0,0,0,0,0,0.49,0.16,0.13,E.L. James,Fifty Shades of Grey,2012,0.7,4,4.6,0.6,3.3,Bestsellers,,,Bestsellers,2011,2011,james_fifty_shades_of_grey_Fifty_Shades_of_Grey,1963/3/7,
21,public,0,0,0,0,0.02,0.02,0.07,0.49,0.12,0,Robert Louis Stevenson,Treasure Island,1883,4.3,17148.4,16.7,5.1,18.8,pre-1923 LitBank,,,pre-1923 LitBank,1883,1883,120_treasure_island,1850-11-13,1894-12-03
19,public,0,0,0,0,0,0.1,0.05,0.49,0.22,0,Jack London,The Call of the Wild,1903,9.3,143.3,24.8,6.9,17.7,pre-1923 LitBank,,,pre-1923 LitBank,1903,1903,215_the_call_of_the_wild,1876-01-12,1916/11/22
18,public,0,0,0.01,0,0.02,0.05,0.08,0.49,0.16,0,Charlotte Brontë,Jane Eyre: An Autobiography,1847,4.6,7014.4,21.2,6.4,17.7,pre-1923 LitBank,,,pre-1923 LitBank,1847,1847,1260_jane_eyre_an_autobiography,1816-04-21,1855-03-31
22,private,0,0,0,0,0.02,0.05,0.02,0.48,0.14,0,Suzanne Collins,The Hunger Games,2008,4,92.8,2,2.1,4.3,Genre Fiction,SF/Fantasy,,Genre Fiction：SF/Fantasy,2008,2010,collins_the_hunger_games_The_Hunger_Games,1962/8/10,
25,public,0,0,0,0,0.01,0.02,0.01,0.45,0.09,0,Emily Brontë,Wuthering Heights,1847,4,715.5,14.7,6.4,21.2,pre-1923 LitBank,,,pre-1923 LitBank,1847,1847,768_wuthering_heights,1818-07-30,1848-12-19
26,private,0,0,0,0,0.01,0.03,0.05,0.43,0.17,0,Douglas Adams,The Hitchhiker's Guide to the Galaxy,1979,5.4,269.3,0.4,7.8,13.4,Genre Fiction,SF/Fantasy,,Genre Fiction：SF/Fantasy,1980,1979,adams_the_hitchhikers_guide_to_the_galaxy_The_Hitchhiker_s_Guide_to_the_Galaxy,1952/3/11,2001/5/11
28,public,0,0,0,0,0.01,0.02,0.01,0.42,0.08,0,Oscar Wilde,The Picture of Dorian Gray,1890,6.7,1501.6,17.8,6.2,32.4,pre-1923 LitBank,,,pre-1923 LitBank,1890,1890,174_the_picture_of_dorian_gray,1854-10-16,1900/11/30
29,public,0,0,0,0,0,0,0,0.42,0.03,0,Henry James,The Turn of the Screw,1898,0.9,14.9,9.1,2.8,21.4,pre-1923 LitBank,,,pre-1923 LitBank,1898,1898,209_the_turn_of_the_screw,1843-04-15,1916/2/28
31,public,0,0,0,0,0,0.04,0.03,0.4,0.06,0,Charles Dickens,Great Expectations,1861,2.7,163.6,18,5.1,15.6,pre-1923 LitBank,,,pre-1923 LitBank,1861,1861,1400_great_expectations,1812-02-07,1870-06-09
32,public,0,0,0,0,0,0,0.05,0.37,0.06,0,H. G. Wells,The Invisible Man: A Grotesque Romance,1897,1.5,76.9,17.7,3.8,11.8,pre-1923 LitBank,,,pre-1923 LitBank,1897,1897,5230_the_invisible_man_a_grotesque_romance,1866-09-21,1946/8/13
36,private,0,0,0,0,0.02,0.04,0,0.3,0.16,0,Chinua Achebe,Things Fall Apart,1959,7,253.3,7.1,1.7,2.7,Global,Africa,,Global,1958,1958,achebe_things_fall_apart_Things_Fall_Apart,1930/11/16,2013/3/21
37,public,0,0,0,0,0.01,0.01,0.01,0.28,0.09,0,James Joyce,Ulysses,1922,4.1,965.8,20.2,6.4,7.4,pre-1923 LitBank,,,pre-1923 LitBank,1922,1922,4300_ulysses,1870-07-02,1931/3/25
39,private,0,0,0,0,0.01,0,0,0.27,0.13,0,Ray Bradbury,Fahrenheit 451,1953,16.4,375.4,7.8,21.5,3.9,Genre Fiction,SF/Fantasy,,Genre Fiction：SF/Fantasy,1953,1953,bradbury_fahrenheit_451_Fahrenheit_451,1920/8/22,2012/6/5
41,private,0,0,0,0,0.01,0.01,0.02,0.26,0.05,0.01,Dan Brown,The Da Vinci Code,2003,2.5,4.4,2.7,1.2,2.4,Bestsellers,,,Bestsellers,2003,2003,brown_the_da_vinci_code_The_Da_Vinci_Code,1990/5/15,
42,private,0,0,0,0,0,0.04,0.02,0.26,0.08,0,Frank Herbert,Dune,1965,0.2,2.7,1.5,0.2,0,Genre Fiction,SF/Fantasy,,Genre Fiction：SF/Fantasy,1965,1965,herbert_dune_Dune,1920/10/8,1986/2/11
43,private,0,0,0,0,0.03,0.03,0.02,0.25,0.2,0.01,Zora Neale Hurston,Their Eyes Were Watching God,1937,7.6,2278.7,6.2,0.6,4.7,BBIP,,,BBIP,1937,1937,hurston_their_eyes_were_watching_god_Their_Eyes_Were_Watching_God,1891-01-07,1960/1/28
44,public,0,0,0,0,0.01,0.03,0.01,0.25,0.04,0,Nathaniel Hawthorne,The House of the Seven Gables,1851,0.3,3,6.6,1.2,15.5,pre-1923 LitBank,,,pre-1923 LitBank,1692,1851,77_the_house_of_the_seven_gables,1804-07-04,1864-05-19
45,public,0,0,0,0,0.01,0.02,0.01,0.25,0.03,0,George Eliot,Silas Marner,1861,2.1,29.2,9.2,5,9.7,pre-1923 LitBank,,,pre-1923 LitBank,1861,1861,550_silas_marner,1819-11-22,1880-12-22
46,public,0,0,0,0,0,0,0,0.25,0.01,0,Edith Wharton,The Age of Innocence,1920,1.2,20.9,11.1,2.4,16.3,pre-1923 LitBank,,,pre-1923 LitBank,1920,1920,541_the_age_of_innocence,1862-01-24,1937/8/11
47,private,0,0,0,0,0.06,0.04,0.01,0.25,0.14,0,Harper Lee,To Kill a Mockingbird,1961,4,3290.1,10.5,2.5,1.2,Pulitzer,,,Pulitzer,1960,1960,lee_to_kill_a_mockingbird_To_Kill_a_Mockingbird,1926/4/28,2016/2/19
48,public,0,0,0,0,0,0,0,0.24,0,0,W. Somerset (William Somerset) Maugham,Of Human Bondage,1915,1,43.5,54,1.2,10.2,pre-1923 LitBank,,,pre-1923 LitBank,1915,1915,351_of_human_bondage,1874-01-25,1965/12/16
50,public,0,0,0,0,0,0.01,0.02,0.23,0.05,0,Henry James,The Ambassadors,1903,0.1,2.7,2.2,0.1,10,pre-1923 LitBank,,,pre-1923 LitBank,1903,1903,432_the_ambassadors,1843-04-15,1916/2/28
51,public,0,0,0,0,0,0.01,0,0.23,0.09,0,Thomas Hardy,Tess of the d'Urbervilles: A Pure Woman,1891,3.3,68.8,7.2,3.3,14.9,pre-1923 LitBank,,,pre-1923 LitBank,1891,1891,110_tess_of_the_durbervilles_a_pure_woman,1840-06-02,1928/1/11
53,public,0,0,0,0,0.01,0,0,0.22,0,0,H. Rider (Henry Rider) Haggard,King Solomon's Mines,1885,0.5,5.4,4.2,0.3,6.6,pre-1923 LitBank,,,pre-1923 LitBank,1885,1885,2166_king_solomons_mines,1856-06-22,1925/5/14
52,private,0,0,0,0,0,0.03,0.01,0.22,0.13,0,William Gibson,Neuromancer,1984,1.7,30.1,1.7,0.5,2.2,Genre Fiction,SF/Fantasy,,Genre Fiction：SF/Fantasy,1984,1984,gibson_neuromancer_Neuromancer,1914/11/13,2008/11/25
54,public,0,0,0,0,0,0,0,0.21,0.02,0,Theodore Dreiser,Sister Carrie: A Novel,1900,0.8,6.7,3.5,2.7,10.9,pre-1923 LitBank,,,pre-1923 LitBank,1900,1900,233_sister_carrie_a_novel,1871-08-27,1945/12/28
55,public,0,0,0,0,0,0,0.01,0.2,0.04,0,Anna Sewell,Black Beauty,1877,1.4,10355.3,9.2,4.1,5.8,pre-1923 LitBank,,,pre-1923 LitBank,1887,1877,271_black_beauty,1820-03-20,1878-04-25
56,public,0,0,0,0,0,0,0,0.2,0.03,0,Charles Dickens,Bleak House,1852,0.2,2.8,7.6,5.2,15.4,pre-1923 LitBank,,,pre-1923 LitBank,Unknown (as there is no clear indication of a specific year in the passage),1853,1023_bleak_house,1812-02-07,1870-06-09
57,private,0,0,0,0,0.01,0.02,0.01,0.2,0.1,0,Orson Scott Card,Ender's Game,1985,1.7,2.6,3.7,0,1.3,Genre Fiction,SF/Fantasy,,Genre Fiction：SF/Fantasy,1985,1985,card_enders_game_Ender_s_Game,1951/8/24,
60,public,0,0,0,0,0.01,0.01,0,0.19,0.06,0,Wilkie Collins,The Moonstone,1868,0.1,2.3,14.2,0.2,10.6,pre-1923 LitBank,,,pre-1923 LitBank,1868,1868,155_the_moonstone,1824-01-08,1889-09-23
61,public,0,0,0,0,0.01,0.03,0.03,0.19,0.07,0,James Fenimore Cooper,The Last of the Mohicans; A narrative of 1757,1826,1.1,4.1,2.4,1.1,10.6,pre-1923 LitBank,,,pre-1923 LitBank,1757,1826,940_the_last_of_the_mohicans_a_narrative_of_1757,1789-09-15,1851-09-14
59,public,0,0,0,0,0,0,0,0.19,0,0,F. Scott (Francis Scott) Fitzgerald,The Beautiful and Damned,1922,0,2.2,11.1,0.1,13,pre-1923 LitBank,,,pre-1923 LitBank,1922,1920,9830_the_beautiful_and_damned,1896-09-24,1940/12/21
58,private,0,0,0,0,0,0.02,0.01,0.19,0.12,0,Aldous Huxley,Brave New World,1932,5.4,70.1,2.8,5.6,7.4,Genre Fiction,SF/Fantasy,,Genre Fiction：SF/Fantasy,1932,1932,huxley_brave_new_world_Brave_New_World,1894-07-26,1963/11/22
62,public,0,0,0,0,0,0,0,0.18,0.05,0,Elizabeth Cleghorn Gaskell,North and South,1855,0.1,15.4,5.7,0.2,7.7,pre-1923 LitBank,,,pre-1923 LitBank,1855,1855,4276_north_and_south,1810-09-29,1865-11-12
63,private,0,0,0,0,0.01,0,0.01,0.18,0.07,0,Margaret Mitchell,Gone with the Wind,1937,0.7,4053.4,2.8,0.5,2,Pulitzer,,,Pulitzer,1936,1936,mitchell_gone_with_the_wind_Gone_with_the_Wind,1925/7/17,2017/3/8
64,public,0,0,0,0,0.01,0.01,0.04,0.18,0.04,0,"Emmuska Orczy, Baroness Orczy",The Scarlet Pimpernel,1905,0.8,4.4,1.9,0.7,6,pre-1923 LitBank,,,pre-1923 LitBank,1905,1905,60_the_scarlet_pimpernel,1865-09-23,1947/11/12
65,public,0,0,0,0,0,0.01,0,0.17,0.03,0,Anne Brontë,The Tenant of Wildfell Hall,1848,0.1,7.9,2.4,2.6,4.8,pre-1923 LitBank,,,pre-1923 LitBank,1848,1848,969_the_tenant_of_wildfell_hall,1820-01-17,1849-05-28
66,private,0,0,0,0,0.02,0.01,0.04,0.17,0.05,0,Philip K. Dick,Do Androids Dream of Electric Sheep?,1968,0.2,34.1,2.6,1.889,0.1,Genre Fiction,SF/Fantasy,,Genre Fiction：SF/Fantasy,1968,1982,dick_do_androids_dream_of_electric_sheep_Do_Androids_Dream_of_Electric_Sheep?,1928/12/16,1982/3/2
67,public,0,0,0,0,0,0,0,0.17,0.08,0,E. M. (Edward Morgan) Forster,A Room with a View,1908,1.1,4,5.7,2,9.3,pre-1923 LitBank,,,pre-1923 LitBank,1908,1908,2641_a_room_with_a_view,1879-01-01,1970/6/7
70,public,0,0,0,0,0.07,0.05,0,0.16,0.05,0.01,Henry James,Daisy Miller: A Study,1879,1.8,488.1,5.4,2.1,14.8,pre-1923 LitBank,,,pre-1923 LitBank,1878,1878,208_daisy_miller_a_study,1843-04-15,1916/2/28
71,public,0,0,0,0,0,0,0,0.16,0.02,0.01,William Makepeace Thackeray,Vanity Fair,1848,0.4,4.6,6.6,0.9,13.1,pre-1923 LitBank,,,pre-1923 LitBank,1850,1850,599_vanity_fair,1811-07-18,1863-12-24
68,private,0,0,0,0,0,0,0,0.16,0.06,0.05,Dan Brown,The Lost Symbol,2009,0.2,2.1,1.6,0.2,0.8,Bestsellers,,,Bestsellers,2010,2009,brown_the_lost_symbol_The_Lost_Symbol,1990/5/15,
75,private,0,0,0,0,0,0.03,0.02,0.15,0.08,0.01,Veronica Roth,Divergent,2014,0.5,3.2,3.1,0.1,3.4,Bestsellers,,,Bestsellers,2011,2011,roth_divergent_Divergent,1988/8/19,
72,public,0,0,0,0,0.03,0.03,0.02,0.15,0.03,0,Samuel Butler,The Way of All Flesh,1903,0,2.4,1.6,0.2,5.1,pre-1923 LitBank,,,pre-1923 LitBank,1920,1885,2084_the_way_of_all_flesh,1774-01-30,1839-12-04
76,private,0,0,0,0,0.09,0.01,0,0.15,0.04,0,John Steinbeck,The Grapes of Wrath,1940,1.7,39.3,1,0.3,1.1,Pulitzer,,,Pulitzer,1939,1939,steinbeck_the_grapes_of_wrath_The_Grapes_of_Wrath,1902/2/27,1968/12/20
73,public,0,0,0,0,0,0,0,0.15,0.07,0,Kate Chopin,"The Awakening, and Selected Short Stories",1899,6.3,482.3,14.5,1.8,13.4,pre-1923 LitBank,,,pre-1923 LitBank,1899,1899,160_the_awakening_and_selected_short_stories,1850-02-08,1904/8/22
77,public,0,0,0,0,0,0,0,0.14,0,0,D. H. (David Herbert) Lawrence,Sons and Lovers,1913,0.8,3.6,1,1.4,14.4,pre-1923 LitBank,,,pre-1923 LitBank,1910,1915,217_sons_and_lovers,1885-09-11,1930/3/2
80,public,0,0,0,0,0,0,0,0.13,0.01,0,Henry Fielding,"History of Tom Jones, a Foundling",1749,0.6,3.5,1.7,0.4,10.1,pre-1923 LitBank,,,pre-1923 LitBank,1749,1749,6593_history_of_tom_jones_a_foundling,1707-04-22,1754-10-08
81,public,0,0,0,0,0,0.01,0.01,0.13,0.02,0.01,D. H. Lawrence,Lady Chatterley's Lover,1928,0.7,38.4,4,0.5,9.5,Genre Fiction,Romance,,Genre Fiction：Romance,1928,1928,lawrence_three_complete_novels_Lady_Chatterley_s_Lover,1885-09-11,1930/3/2
79,private,0,0,0,0,0.01,0.01,0.02,0.13,0.03,0,Alex Haley,Roots,1977,0,1,0.1,0.1,5.2,Pulitzer,,,Pulitzer,1876,1976,haley_roots_Roots,1921/8/11,1992/2/10
83,public,0,0,0,0,0.01,0,0,0.12,0.02,0,Thomas Hardy,Far from the Madding Crowd,1874,0.5,21.1,12.4,3,8.1,pre-1923 LitBank,,,pre-1923 LitBank,1874,1874,27_far_from_the_madding_crowd,1840-06-02,1928/1/11
86,public,0,0,0,0,0,0,0.02,0.11,0.04,0.01,Marjorie Kinnan Rawlings,The Yearling,1939,0.1,2.2,0.2,0,2,Pulitzer,,,Pulitzer,1938,1940,rawling_the_yearling_The_Yearling,1896-08-08,1953/12/14
84,private,0,0,0,0,0.07,0.03,0.05,0.11,0.11,0,Irving Stone,The Agony and the Ecstasy,1961,0,1.2,0.7,0,0,Bestsellers,,,Bestsellers,1546,1961,stone_the_agony_and_the_ecstasy_The_Agony_and_the_Ecstasy,1903/7/14,1989/8/26
85,private,0,0,0,0,0.01,0.01,0.04,0.11,0.04,0,Madeleine L'Engle,A Wrinkle in Time,1962,2.7,8.2,3.4,2.3,1.9,Genre Fiction,SF/Fantasy,,Genre Fiction：SF/Fantasy,1962,1962,lengle_a_wrinkle_in_time_A_Wrinkle_in_Time,1918/11/29,2007/9/6
87,private,0,0,0,0,0,0.01,0.01,0.11,0.01,0.03,Ian Fleming,From Russia with Love,1957,0.1,3,3,0.1,5,Genre Fiction,Action/Spy,,Genre Fiction：Action/Spy,1949,1963,fleming_from_russia_with_love_From_Russia_with_Love,1908/5/28,1964/8/12
92,private,0,0,0,0,0,0.01,0.01,0.1,0.08,0.07,Diana Gabaldon,Outlander,1991,0.1,0.9,0.9,0.2,5.1,Genre Fiction,Romance,,Genre Fiction：Romance,Outlander is a work of fiction and does not have a specific year associated with it.,1991,gabaldon_outlander_Outlander,1952/1/11,
93,public,0,0,0,0,0.02,0.01,0.02,0.1,0.05,0,Elizabeth Von Arnim,Elizabeth and Her German Garden,1898,0.8,2.4,1.3,1.2,3.6,pre-1923 LitBank,,,pre-1923 LitBank,1920,1898,1327_elizabeth_and_her_german_garden,1866-08-31,1941/2/9
94,public,0,0,0,0,0,0,0,0.1,0,0,Charlotte Perkins Gilman,Herland,1915,0.2,3.3,5.7,1.5,7.8,pre-1923 LitBank,,,pre-1923 LitBank,1915,1915,32_herland,1860-07-03,1935/8/17
91,private,0,0,0,0,0,0,0,0.1,0.01,0,Alice Walker,The Color Purple,1983,1.2,13.9,0.8,0.5,2,Pulitzer,,,Pulitzer,1982,1982,walker_the_color_purple_The_Color_Purple,1876-04-10,1954/3/10
90,private,0,0,0,0,0,0.01,0,0.1,0.02,0,Kazuo Ishiguro,The Remains of the Day,1989,1,2743.4,0.5,0.6,2.4,Global,Europe,,Global,1952,1989,ishiguro_the_remains_of_the_day_The_Remains_of_the_Day,1954/11/8,
89,private,0,0,0,0,0.01,0,0,0.1,0.05,0,Dashiell Hammett,The Maltese Falcon,1929,0.9,13,1.3,1,6.2,Genre Fiction,Mystery/Crime,,Genre Fiction：Mystery/Crime,1930,1930,hammett_the_maltese_falcon_The_Maltese_Falcon,1894-05-27,1961/1/10
95,public,0,0,0,0,0,0.02,0.01,0.09,0.02,0,Sarah Orne Jewett,The Country of the Pointed Firs,1896,0.3,3.4,1.3,1.7,11.8,pre-1923 LitBank,,,pre-1923 LitBank,1896,1896,367_country_of_the_pointed_firs,1849-09-03,1909/6/24
96,private,0,0,0,0,0,0.01,0,0.09,0.04,0,Toni Morrison,Beloved,1988,1.9,16.9,1.9,0.1,1,Pulitzer,,,Pulitzer,Unknown,1987,morrison_beloved_Beloved,1931/2/18,2019/8/5
97,private,0,0,0,0,0,0,0,0.09,0.02,0,Dorothy L. Sayers,The Nine Tailors,1934,1.6,1.4,0.3,1.1,2.2,Genre Fiction,Mystery/Crime,,Genre Fiction：Mystery/Crime,1920,1920,sayers_the_nine_tailors_The_Nine_Tailors,1893-06-13,1957/12/17
