Phryné	Alvard	Il s’agit d’[MASK], le célèbre sculpteur, vous savez, celui qui a exposé au Salon, l’an dernier, cette merveilleuse Phryné ? Mais, dites donc, ajouta le docteur en riant, j’espère que votre enquête ne cache aucun dessein ténébreux ?
""	Raoul	? — Difficilement. Je ne l’ai pas revue depuis sa mort, à lui. Et j’ai idée que la police la cherche. [MASK] se tut assez longtemps. Puis il sonna son domestique. — Le déjeuner est prêt ? — Oui, monsieur.

""	Thomas	— Tiens !… Mais qui donc êtes-vous ? — Je suis quelqu’un qui a pris la place de cette personne. — Dans quelle intention ? [MASK] prononça : — Nous sommes seuls ? On ne nous dérangera pas ? — Vous craignez donc que nous ne soyons dérangés

Je ne sais pas	Rolande	« Seulement, voyez-vous, mes amis, tout cela, c’est de votre faute. Rappelez-vous, [MASK], au début, vous m’avez demandé conseil, et je pouvais croire que nous marchions la main dans la main. Et puis, brusquement, le silence…

Hippolyte	Faustine	Ah ! le cabotin… Il s’en cache, il affecte de s’occuper de [MASK], mais je sentais sa haine contre moi… sa jalousie féroce. Quand elle lui a annoncé son mariage, il avait beau crâner, il tremblait de colère. Il l’aime…

Quasimodo	Goussot	Le jeune homme avait recouvré son aplomb à tel point que le juge d’instruction murmura : — Tout cela est fort plausible. Mais [MASK] ne lâchait pas prise. — Donc, vous l’avez vu hier ? — Oui, près du pavillon que j’habite.

""	Raoul	L’inquiétude de [MASK] se dissipait. Il avait l’impression que quelque chose enfin allait sourdre du passé et qu’il était sur le point d’apprendre les raisons pour lesquelles il se trouvait engagé dans cette ténébreuse histoire. — Quel souvenir ? Parle. L’autre articula

Elle	Rolande	Mais ces raisons, en admettant qu’elle les eût pressenties, ne devait-elle pas agir et parler comme si elle les ignorait ? Et [MASK] reprit : — Il est certain que ce meurtre, commis sous tes yeux et dont tu étais responsable, t’a détraqué sur le moment.

Elle	Jérôme	J’ai pleuré dans ses bras… et j’étais si malheureuse que je lui ai avoué mon amour pour lui. Et deux fois, depuis, il y est revenu… Il est là, [MASK], dans ma chambre, qui sera la sienne…

""	Félicien	— Chez moi ? au Clair-Logis ? Qu’est-ce que tu veux que ça me fasse ? — Non, pas chez vous, au pavillon… — Chez [MASK] ? Il était là ? — Oui, revenu d’hier soir. On a fouillé en sa présence.

la trouvaille du sac de toile grise	Barthélemy	Mais la trouvaille du sac de toile grise, près du cadavre de [MASK], te remonte. « Dans le désarroi de l’après-midi, au milieu des allées et venues, tu réussis à prendre le sac et à le cacher quelque part, dans le studio sans doute.

Quasimodo	Rolande	Son visage n’exprimait ni émotion, ni plaisir, et l’on n’aurait pas cru qu’il venait de terrasser l’homme qui semblait être son rival abhorré. Il passa près de [MASK] sans qu’elle lui fît un reproche et sans qu’il lui adressât la parole…

Quasimodo	Goussot	Ils s’arrêtèrent même, insouciants et flâneurs, et regardèrent à l’autre bout de l’étang, près de l’impasse, la barque du riverain qui se balançait, montée par trois hommes, [MASK] et deux de ses inspecteurs, dont l’un raclait le fond de l’eau.

""	Félicien	Rolande »… « [MASK] »… murmura-t-il dans un souffle. Il se débattait contre une réalité intolérable, à laquelle il refusait de croire, et qui l’étreignait de tous côtés, sans qu’il s’y pût soustraire. Il dit, tout bas :

Elle	Raoul	Tandis que, pour l’accompagner, les deux cousins prenaient leur chapeau dans une pièce voisine, [MASK] sortit du salon comme un familier de la maison, tendit la main au docteur à qui le concierge avait, de sa loge, ouvert la porte, et s’en alla tranquillement.

Quasimodo	Félicien	On t’interroge à ce propos. Que réponds-tu ? « Mon agresseur a surgi de l’impasse. » Dès lors, l’enquête est aiguillée vers [MASK], lequel ne se défend pas, et ne veut pas se défendre.

Quasimodo	Rolande	Tais-toi… Je sais bien que c’est faux, et que tu dis cela pour m’exaspérer, pour des raisons que je ne peux imaginer… Mais, tout de même, tu me ferais perdre la tête. Toi, [MASK] !

le 18 septembre	Rolande	Le 18 septembre, c’est dans onze jours. Il faut que d’ici là tout se déclenche et que leurs passions fassent éclater la vérité, encore si lointaine et si complexe. » Il n’avait plus été question de la visite mystérieuse reçue par [MASK].

""	Raoul	— Mais le véritable ? — La fermière l’ignorait. — Mais elle savait autre chose, la fermière ? s’écria [MASK]. — Peut-être… peut-être bien… mais elle n’a rien dit… — Tu mens ! Je vois bien que tu mens.

""	Félicien	? répondit [MASK]. — De vous avoir attaqué et ligoté tout à l’heure. Je voulais vous empêcher de faire quelque bêtise. — Quelle bêtise, monsieur ? — Mais… à cause de cette nuit de noces…

Quasimodo	Lupin	Il comprit fort bien tout ce qui lui était demandé et offrit même de faire toute la décoration du Logis et de remettre le jardin en ordre. Il habiterait le pavillon de gauche. Et les mois s’écoulèrent. [MASK] ne vint guère plus de trois ou quatre fois.

Goussot	Raoul	Il s’était tué d’un coup de revolver au cœur. Il venait de rentrer, la porte de sa maison était encore ouverte. L’inspecteur Goussot est sur les lieux. Moi, j’ai appris la chose en descendant du train. Sans broncher, [MASK] déclara

La lettre	Félicien	— Je n’accuse pas. Je pose une question que l’on ne peut pas ne pas se poser. — Pourquoi ne peut-on pas ? — À cause de cette lettre, [MASK]. Il y a dans ces lignes une telle inconscience !…

Monsieur le maire	Raoul	Comme il se disposait à reprendre place dans sa voiture, [MASK] l’apostropha : — Tous mes compliments. Un joli coup de jiu-jitsu… classique d’ailleurs… mais, si bien exécuté… la torsion du bras… Où diable avez-vous appris cela ?

L’auto	Raoul	L’auto entra dans le jardin. [MASK], qui s’était installé sur-le-champ dans son bureau, et qui avait donné ses instructions, attendit. La rencontre si vivement désirée par lui et amenée avec tant d’efforts allait se produire.

La porte	Raoul	« – Conclusion, se dit [MASK], visite domiciliaire nocturne. Mais par où entrer ? » L’hôtel était profond, et la façade postérieure donnait sur une cour-jardin que séparait d’une rue parallèle un mur très élevé, et que desservait une porte massive.

""	Félicien	» [MASK] ne semblait nullement méditer ces problèmes, s’inquiéter des obstacles et choisir entre plusieurs partis. Son allure était vive, mais sans excès qui le fît remarquer. Il suivit le haut mur, et se planta devant la porte, une clef en mains. «

Quasimodo	Simon	? — Non, fit-elle avec netteté. Non, s’il n’est pas la cause de la mort de [MASK] ; cela domine tout pour moi. Il m’est impossible de vivre en dehors de cette idée de vengeance.

Olivier	Félicien	Vous avez interrogé mon jardinier sans en avoir l’air et vous avez su qu’ils se retrouvaient tous les jours. Une heure après, vous preniez votre revolver. Est-ce exact ? La figure crispée, [MASK] écoutait.

La Hire	Élisabeth	Tiens, ajouta-t-elle, en sortant d’un tiroir un cahier relié, j’ai écrit là, à la suite du journal même d’[MASK], toute ta vie de mensonge et d’hypocrisie… Lorsque la justice en aura connaissance, tu seras pour elle, comme tu l’es pour moi, l’unique criminel

Quasimodo	Félicien	d’être l’homme qui a été vu en barque le soir du crime et du vol. Cet aveu-là ne vous a pas étonné ? — Pourquoi m’aurait-il étonné, dit [MASK], puisque ce n’était pas moi ? À cette heure-là je dormais.

Je	Élisabeth	Je n’avais plus à réfléchir, mais à t’examiner sans trêve et à envisager tous les événements qui se rapportaient à nous deux et à [MASK], comme si c’était toi le coupable. J’ai fait davantage.

Oui	Félicien	— Si, un petit supplément d’information sur deux points… sur trois, même. Pure curiosité, d’ailleurs. — Dites. — Premièrement. Quelles sont vos intentions à l’égard de [MASK] ? Et d’abord, croyez-vous que ce soit votre fils ?

Félicien	Raoul	Il fit signe à [MASK] qui s’approcha : — Ça va mal pour le jeune Félicien. — En quoi donc, monsieur le juge d’instruction ? — Les charges se précisent. Voici la dernière qui m’a été fournie par le domestique Édouard, et par votre jardinier, qui se sont liés ici.

""	Félicien	Que dites-vous là ? Et de quel événement parlez-vous ? — Du mariage qui doit avoir lieu samedi matin. — Mais ce mariage n’a aucun rapport… — Si. J’estime que ce mariage est impossible, si c’est [MASK] le coupable. — Pourquoi ?

""	Jérôme	— Je te répète, [MASK], que j’aime un homme, et que je l’aime par-dessus tout. — Tais-toi ! tais-toi ! cria-t-il, hors de lui, soudain, et les poings levés contre elle.

Quasimodo	Raoul	Oui, pour la sauver… Le vieux était capable de ces emballements-là. Mais, en la sortant de l’eau, il a vu le collier de perles et il a perdu la tête. — C’est mon avis, dit [MASK]. On entendait l’auto.

Haine	LORSQUERAOUL	La haine [MASK] SUPPOSAIT QU’UN jour ou l’autre il pourrait être amené à quelque visite nocturne dans une maison, il préparait son expédition longtemps à l’avance. C’est ainsi qu’il possédait une clef du potager qui flanquait à droite le jardin de l’Orangerie.

Elle	Raoul	. Une moitié de la partie gauche de la cour était occupée par une construction rajoutée, sans étage, de sorte que, des fenêtres de la maison, on ne voyait pas qui entrait dans ce rez-de-chaussée, ni qui sortait. [MASK] y pénétra sans bruit.

Elle	Rolande	Il devait épouser votre sœur, n’est-ce pas ? — Il devait l’épouser. Il reprit : — J’ai bien connu sa mère autrefois. Il était tout enfant. Mais [MASK] parut se refuser à poursuivre la conversation devant témoins, et elle lui dit :

""	Lupin	[MASK] réfléchit un instant. Il regardait les deux sœurs. Un jeune homme, qui faisait la cour à l’aînée, et qu’elle annonça elle-même comme son fiancé, venait de les rejoindre et ils riaient tous les trois. Il fut gêné.

Elle	Jérôme	Mais à la seconde où ses lèvres allaient l’effleurer, elle se dressa d’un coup : — Non, non… je te défends… Ils restèrent face à face, les yeux dans les yeux, [MASK] cherchant à voir le fond de cette âme qui se dérobait.

Je ne suis pas	Élisabeth	Je lui en ai demandé la cause. Il m’a répondu que je me trompais, et, comme j’insistais, il m’a opposé la même réponse, mais d’une façon plus indécise, néanmoins. « – Non, [MASK], je n’ai rien.

Hippolyte	Raoul	? et il aura donc tout préparé ? [MASK] hocha la tête. — Je ne crois pas que les choses se soient passées de la sorte, mademoiselle. L’assassin n’avait pas besoin de la jeter à l’eau pour lui arracher son collier.

Quasimodo	Jérôme	Elle se rendit compte tout à coup que [MASK] n’écoutait pas. Il regardait à terre, les yeux vagues, et l’on sentait que, pris dans les mailles serrées de l’accusation, confondu de voir toute l’affaire exposée dans sa réalité, et lui-même démasqué, il renonçait à se défendre.

Hector	Faustine	Le reste, c’est à toi de me le dire. Tu me connais, [MASK], je ne céderai pas. Ou bien tu parleras, et tout de suite, tu entends, tout de suite… ou bien… ou bien…

Alphonse	Lupin	Il a du talent…, etc. » [MASK] fit venir ce jeune homme qui lui sembla timide, réservé, désireux de plaire, mais ne sachant comment y parvenir. Assez joli garçon, du reste, de vingt-sept à vingt-huit ans, intelligent et artiste.

Elphaba	Jérôme	— Ta première victime, [MASK], fut ta mère. Ne proteste pas, tu me l’as presque avoué. Elle est morte de tes fautes, de tes fautes que nul autour de vous ne connaissait, car elle les a cachées de toute son inquiétude maternelle…

Le Gentleman	Raoul	Il avait tué le Gentleman. Ne serait-il pas enclin à vouloir que son crime lui rapportât autre chose que les quelques billets recueillis dans la poche de sa victime ? De fait, il y eut un bruit de moteur que [MASK] reconnut. L’auto entra dans le jardin.

Quasimodo	Barthélemy	— Il y en a, et des plus formelles, que [MASK] avait réunies patiemment. Tu vois cela d’ici, n’est-ce pas ? C’était le grand coup de sa vie, au bonhomme ! Ayant placé l’enfant chez toi, il te tenait entre ses griffes.

Quasimodo	Élisabeth	Rien ne put l’intéresser ni le tirer de sa torpeur. À la fin, les policiers le harcelant de questions, il se réfugia dans le studio, où, pour la dernière fois, il avait vu [MASK], et n’en sortit plus.

""	Faustine	Premier interrogatoire. » « Les deux frères seraient les fils du vieux Barthélemy. » Il contempla de nouveau [MASK]. Elle lui parut aussi belle que dans l’animation et l’élan de la vie, plus belle peut-être, avec la pureté de ses traits pacifiés.

Hector	Rolande	Est-ce possible ? Il s’irritait. — Voyons… voyons… il faut pourtant de la clarté… Ta main, [MASK], ta main qui porte l’anneau et la bague de mariage, mets-la dans la mienne… J’ai le droit de la prendre…

Hector	Faustine	Aucune menace de danger n’entamerait une insouciance, peut-être apparente, mais qui avait la valeur d’une résistance inflexible. Les paroles ne lui arracheraient pas son secret. Il fallait donc agir. Les événements ne s’y prêtèrent pas, au début. [MASK] était retournée à son service de la clinique.

""	Félicien	— Vous êtes sûr ? — Les témoignages des personnes que j’ai interrogées à la clinique sont affirmatifs. — C’est sans doute, dit le juge d’instruction à [MASK], un hasard s’il a pénétré en même temps que vous ?

""	Raoul	— Mes compliments, monsieur le juge d’instruction ! s’écria [MASK]… La journée sera superbe, et c’est une occasion d’oublier un peu notre insupportable affaire. — Vous croyez ça, vous ?… — Dame ! je le suppose.

""	Jérôme	Et si vous aviez choisi la mauvaise route ? — Impossible… Tenez, n’est-ce pas eux, là-bas… qui s’engagent dans la forêt ? — Oui ! oui ! s’écria [MASK]. Et, s’exaltant soudain, il lâcha des injures :

Elle	Élisabeth	Avec cette idée, sans doute, de ne pas aller jusqu’au bout, et de t’en rapporter au hasard, mais tu as travaillé quand même, avançant l’ouvrage, entaillant les poteaux, minant les marches que, chaque jour, à la même heure, [MASK] descendait.

""	Simon	? — Non. — Est-ce qu’il n’est pas venu à la clinique durant les quelques jours où [MASK] luttait contre la mort ? — Oui. Mais il n’a pas fait attention à moi plus qu’à une autre infirmière.

""	Goussot	? [MASK] riposta : — Je n’ai d’autre but que de réunir les éléments de la vérité. — Monsieur l’inspecteur, on réunit toujours ces éléments selon l’idée générale d’une vérité que l’on croit déjà pressentir. — Je n’ai aucune idée.

""	Raoul	— Par vengeance, je crois. — Et comment était-elle, cette femme ? — Très belle. — Riche ? — Elle semblait riche. Elle voyageait en auto. Elle a dit qu’elle reviendrait. Elle n’est jamais revenue. L’agitation de [MASK] augmentait.

Elle	Jérôme	Elle répondit à peine aux questions qu’il lui posait. [MASK] ne fut guère plus loquace. Il annonça son prochain départ, les docteurs lui ordonnant de finir l’été dans la montagne. Du reste, il n’avait plus le courage de s’attarder au Vésinet où tout ravivait sa douleur.

Quasimodo	Lupin	[MASK] avait compté en même temps que lui et se disait : « Que diable peut manigancer ce respectable rentier ? Garçon de recettes ? Trésorier payeur ? Ne serait-ce pas plutôt un de ces personnages sans vergogne qui “étouffent” quelque magot pour le dissimuler aux exigences du fisc

La première	Félicien	La première (affaire des sœurs Gaverel qui ne m’intéresse que par ricochet), se poursuit sans qu’aucune solution soit en vue. Reste [MASK], dont l’action mal définie paraît s’être étendue de l’une à l’autre affaire. »

""	Félicien	— Pourquoi me dénoncer ? Tu crois que tu n’es pas suffisamment vengée en me chassant de ta vie ? Était-ce la peine de te faire aimer de moi si tu ajoutes encore à mon désespoir ? — Et [MASK], n’est-il pas soupçonné, traqué ?

Quasimodo	Raoul	La duplicité du jeune homme redevenait évidente. C’était un fourbe, un imposteur. Un jour ou l’autre il invoquerait son droit de fils, et menacerait, comme ses complices. Incapable de contenir sa colère, [MASK] marcha vers la porte.

""	Goussot	— Pas de fiche anthropométrique au service de l’Identité ? — Non. — Tu le jures ? — Je te le jure. — En ce cas, tu es mon homme. Dans quelques minutes, [MASK] et ses acolytes vont arriver. Tu te laisseras prendre.

La Hire	Raoul	En lisant, elle eut un sursaut. Néanmoins, elle passa le papier à [MASK], sans mot dire. C’était une phrase – deux phrases plutôt – formulées comme ces ordres impérieux que quelque despote, quelque chef de bande, pourrait imposer à un subalterne.

Elphaba	Rolande	Cette nuit de noces, c’est la sienne… Il se rua sur la porte, essayant de l’ouvrir ou de la démolir à coups de poing. — Ne te donne pas tant de mal, dit [MASK], avec un calme effrayant. J’ai la clef.

""	Raoul	[MASK] ne le quittait pas des yeux, attentif à tous ses gestes et à toutes ses réactions, épiant les moindres signes de sincérité ou de dissimulation. — Pourquoi ? dit le jeune homme. Quel était son but ? — Je l’ignore.

""	Raoul	Il avait des défaillances pénibles, et c’est ainsi qu’un soir je l’ai consolé, affectueusement. [MASK] ensuite la mit au courant de cette nuit de noces dont elle ignorait les détails. Et, brusquement, se tournant vers elle, il lui dit :

Emma	Élisabeth	La lecture minutieuse du journal d’[MASK] éveille mon attention. Ainsi, à l’heure où elle s’en allait chercher la barque pour sa promenade quotidienne avec toi, tu étais absorbé, mal à l’aise. Tu te plaignais de n’avoir pas de situation.

""	Félicien	Cependant, le brouillard de l’agonie l’envahissait de nouveau, et, tout doucement, comme un enfant qui gémit, il délira. On entendit ces mots : « La cachette… le vieux a trouvé le sac… Et puis après… J’ai cherché… et je ne sais plus… [MASK]…

la maison	Lupin	Qu’est-ce que tu nous apportes de bon ? [MASK] fut charmé. L’accueil empressé que l’on faisait à l’oncle-gâteau, l’exubérance des deux nièces, la forme basse et un peu démodée de la maison, tout cela était fort sympathique.

La Fontaine	Raoul	[MASK] lui rendit la lettre et fit quelques pas sur la pelouse. Il avait l’impression qu’avec de la persévérance on pouvait s’insinuer dans cette nature ombrageuse et secrète, où il discernait de l’emportement et de la révolte, et il allait insister lorsqu’il entendit la barrière d’entrée qui s’ouvrait.

Quasimodo	Raoul	— Aucune, dit [MASK]. Et moi aussi, j’ignore tout de sa vie et de son passé. J’avais besoin d’un architecte et d’un décorateur. Un ami, je ne sais plus lequel, m’a donné son nom et son adresse.

Quasimodo	Faustine	Ou bien tu parleras, et tout de suite, tu entends, tout de suite… ou bien… ou bien… Son visage descendait vers le visage farouche et terrifié. Les lèvres de [MASK] se dérobèrent aux lèvres qui s’en approchaient.

Quasimodo	Félicien	En face du coffre, [MASK] agit avec la même célérité. Il tourna les trois boutons sans hésiter, comme s’il connaissait le chiffre de la combinaison, et se servit d’une clef qui accomplit loyalement la tâche de telle clef destinée à tel coffre.

Elle	Rolande	. Elle scanda l’aveu sans baisser le regard, mais avec ce ton arrogant qui est un défi et qui ajoute à l’injure. Il sourit, la figure contractée. — Pourquoi mens-tu ? Comment admettrais-je que toi, [MASK]… ?

""	Raoul	, était étendu sur une chaise longue et lisait. Il avait beaucoup maigri. Ses yeux cernés de noir, ses joues creuses trahissaient sa fatigue. [MASK] ne resta pas longtemps. Il trouva la jeune fille fort changée, au moral peut-être plus encore qu’au physique.

""	Rolande	— De telles présomptions ne tiennent pas debout. Mais le silence de l’inspecteur mettait fin à la scène. Debout sur le perron, très belle dans ses vêtements de deuil, [MASK] avait écouté. Elle saisit le bras de son oncle.

Elle	Félicien	Seulement, pour avoir cette preuve, il me fallait définitivement t’épouser. [MASK] s’y opposa, et même par la force. Bouleversé par l’idée que je porterais ton nom, ne fût-ce qu’un jour, il m’enleva. Obstacle inutile.

""	Félicien	— Oui, revenu d’hier soir. On a fouillé en sa présence. — Qu’est-ce qu’ils ont découvert ? — Je ne sais pas. — Ils l’ont emmené ? — Non. Mais la villa est cernée. Défense à [MASK] de sortir.

